raMean,decMean,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
357.52959087,-30.80640921,19.317899703979492,0.018830999732017517,19.2189998626709,0.009140999987721443,19.137500762939453,0.0142639996483922
357.5228315,-30.83025026,15.237700462341309,0.003662999952211976,15.093999862670898,0.0007580000092275441,15.086700439453125,0.0030620000325143337
357.52631619,-30.83260192,16.840599060058594,0.007230999879539013,16.243200302124023,0.0027600000612437725,15.961299896240234,0.01425699982792139
357.54407886,-30.83093288,17.56529998779297,0.007933000102639198,16.952299118041992,0.002300000051036477,16.63759994506836,0.001825000043027103
357.54662797,-30.81404895,21.203899383544922,0.015630999580025673,20.736400604248047,0.032919999212026596,20.307100296020508,0.05783599987626076
357.51914125,-30.82881711,16.824600219726562,0.001690999954007566,15.828900337219238,0.005251999944448471,15.393500328063965,0.0009619999909773469
357.19941362,-31.01261484,20.381900787353516,0.04055500030517578,19.12179946899414,0.01191600039601326,18.578500747680664,0.0035089999437332153
357.22819463,-31.02306411,21.328399658203125,0.05694999918341637,20.022600173950195,0.03628699854016304,19.354000091552734,0.04706500098109245
357.23295774,-31.02372804,20.574199676513672,0.12297499924898148,20.159400939941406,0.03800399973988533,20.210500717163086,0.008062000386416912
357.22499327,-31.02327521,21.431800842285156,0.19475600123405457,20.90329933166504,0.045889001339673996,20.618200302124023,0.03159800171852112
356.67983588,-31.09872316,20.2322998046875,0.11043299734592438,19.765199661254883,0.020251000300049782,19.215200424194336,0.00496299983933568
356.66749663,-31.10264913,20.85569953918457,0.13873699307441711,20.383699417114258,0.018131999298930168,20.125,0.1377660036087036
356.6740477,-31.09919844,21.235000610351562,0.19737400114536285,21.257299423217773,0.028540000319480896,20.075000762939453,0.19056099653244019
356.67972933,-31.08664606,21.02359962463379,0.06978300213813782,20.696800231933594,0.05666400119662285,20.48940086364746,0.14240799844264984
356.67607436,-31.08186613,19.58650016784668,0.07049199938774109,18.85650062561035,0.00612299982458353,18.57550048828125,0.019940000027418137
357.33278305,-30.83817765,21.097000122070312,0.011636000126600266,21.325300216674805,0.05796400085091591,20.833999633789062,0.17171399295330048
357.32939165,-30.83419639,21.178499221801758,0.10443700104951859,20.366600036621094,0.023507000878453255,19.99799919128418,0.12549400329589844
357.32984296,-30.83434154,21.514400482177734,0.1530109941959381,20.461999893188477,0.11321999877691269,19.64929962158203,0.12801800668239594
357.34495477,-30.8281329,21.62150001525879,0.07269600033760071,21.163999557495117,0.1230589970946312,20.730899810791016,0.09030599892139435
357.30285286,-30.81080102,18.790300369262695,0.012361999601125717,18.281200408935547,0.008710999973118305,18.03890037536621,0.011899000033736229
357.34565172,-30.80995941,15.95479965209961,0.0017890000017359853,15.822699546813965,0.0028540000785142183,15.7923002243042,0.0018729999428614974
357.33440908,-30.81529914,21.75320053100586,0.18141600489616394,20.854700088500977,0.06098400056362152,20.695499420166016,0.2861289978027344
357.06197327,-31.32551623,19.769899368286133,0.05337899923324585,19.96109962463379,0.03994499891996384,19.7632999420166,0.08061199635267258
357.05115442,-31.31670253,19.73310089111328,0.127579003572464,18.605600357055664,0.009988999925553799,18.000900268554688,0.012577000074088573
357.06461746,-31.2952491,20.676700592041016,0.09500899910926819,20.50480079650879,0.02808699943125248,20.520200729370117,0.1643960028886795
357.03310204,-30.51335193,21.10810089111328,0.08993300050497055,20.86870002746582,0.041127998381853104,21.048799514770508,0.19765299558639526
357.02805749,-30.5111231,21.35610008239746,0.15430499613285065,21.157800674438477,0.055792998522520065,20.930400848388672,0.05059399828314781
356.99455531,-30.5163595,16.79960060119629,0.0022670000325888395,15.551400184631348,0.007027999963611364,14.968500137329102,0.0026279999874532223
357.00735154,-30.51796368,20.355100631713867,0.0388760007917881,19.513500213623047,0.018252000212669373,19.123300552368164,0.009000999853014946
356.99819911,-30.51117558,20.50279998779297,0.02071399986743927,19.894800186157227,0.034901998937129974,19.79490089416504,0.04620400071144104
356.99846881,-30.5150654,20.11709976196289,0.05437599867582321,19.67770004272461,0.02247999981045723,19.57069969177246,0.03810900077223778
357.30867857,-30.4794262,21.7007999420166,0.16636300086975098,21.060699462890625,0.032276999205350876,20.49720001220703,0.11846800148487091
